CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Per-/poly-fluorinated compounds (PFASs),,,AJMAYLFJZQYRHN-UHFFFAOYSA-N,70887-84-2,2H-Perfluoro-2-decenoic acid,8:2 FTUCA,ftuca,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Deltamethrin,,,,"3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid",DBCA,dbca,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (pyrethroids),Cyfluthrin;Cypermethrin;Permethrin,,,,"3-(2,2-dichlorovinyl)-2,2-dimethylycyclopropane carboxylic acid",cis-DCCA,cdcca,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,"3-(3-Chloro-4-methylphenyl)-1,1-dimethylurea",CHEBI:81981,,15545-48-9,"3-(3-Chloro-4-methylphenyl)-1,1-dimethylurea",Chlortoluron,chltr,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,,CHEBI:116509,,330-54-1,"3-(3,4-dichlorophenyl)-1,1-dimethylurea",DCMU,diuron,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,,CHEBI:6049,,34123-59-6,"3-(4-Isopropylphenyl)-1,1-dimethylurea",,isoproturon,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"3-[(6-chloropyridin-3-yl)methyl-(2,2-difluoroethyl)amino]-2H-furan-5-one",,QOIYTRGFOFZNKF-UHFFFAOYSA-N,,"3-[(6-chloropyridin-3-yl)methyl-(2,2-difluoroethyl)amino]-2H-furan-5-one",Flupyradifurone,flupyradifurone,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,CHEBI:146195,,50722-38-8,3-Acetyldeoxynivalenol,3-ADON,tacetyldon,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,3-Aminobiphenyl,,MUNOBADFTHUUFG-UHFFFAOYSA-N,,3-Aminobiphenyl,3ABPH,threeabph,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),,,OIQXFRANQVWXJF-ACCUITESSA-N,,3-benzylidene camphor,,threebc,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-n-butyl phthalate,,IYTPMLIWBZMBSL-UHFFFAOYSA-N,,3-carboxyl-mono-propyl phthalate,3cx-MPP,cxmpp,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benz[a]anthracene,,MRRWKFVZIOCJBS-UHFFFAOYSA-N,,3-hydroxybenz[a]anthracene,3-BaA,hbaa3,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[a]pyrene,CHEBI:34337,,13345-21-6,3-hydroxybenzo(a)pyrene,3-hydroxyBaP,ohbap,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[c]phenanthrene,CHEBI:132445,,22717-95-9,3-hydroxybenzo[c]-phenanthrene,3-BCP,hbcp,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),,,PQWYZWVBXAOHOU-UHFFFAOYSA-N,,3-Hydroxyfluoranthène,3-OHFA,threeohfa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Fluorene,CHEBI:89645,,,3-hydroxyfluorene,3-FLUO,threehfluo,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:20184,,605-87-8,3-hydroxyphenanthrene,3-PHEN,threehphe,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Triphenyl phosphate,,AWYVETCHVQGXMB-UHFFFAOYSA-N,,3-hydroxyphenyl diphenyl phosphate,,ohtphp3,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-n-butyl phthalate,,CTDCWBUTXCPHAM-UHFFFAOYSA-N  ,,3-OH-Mono-n-butyl phthalate,OH-MnBP,ohmnbp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (pyrethroids),Cyhalothrin;Cypermethrin;Deltamethrin;Fenpropathrin;Fenvalerate;Permethrin,CHEBI:72631,,3739-38-6,3-phenoxybenzoic acid,3PBA,threepba,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,3-Trifluormethoxyaniline,,,,3-Trifluormethoxyaniline,3TFMA,threetfma,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Anilines and MOCA,"3,4-Dichloroaniline",CHEBI:16767,,95-76-1,"3,4-Dichloroaniline","3,4DChA",threefourdcha,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"3,5-dibromo-4-hydroxybenzonitrile",,UPMXNNIRAGDFEH-UHFFFAOYSA-N,,"3,5-dibromo-4-hydroxybenzonitrile",Bromoxynil,bromoxynil,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Anilines and MOCA,"3,5-Dichloroaniline",CHEBI:19904,,626-43-7,"3,5-Dichloroaniline","3,5DChA",threefivedcha,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos;Chlorpyrifos-methyl,CHEBI:143794,,6515-38-4,"3,5,6-trichloro-2-pyridinol",TCPy,tcpy,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Pyrimethanil,,NUWWAHKTVOVTNC-UHFFFAOYSA-N,,4'-Hydroxypyrimethanil,4OH-PYRIMETHANYL,fourohpyrimeth,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,4-Aminobiphenyl,CHEBI:1784,,92-67-1,4-Aminobiphenyl,4ABPH,fourabph,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (pyrethroids),Esfenvalerate;Fenvalerate,,,,4-chloro-alpha-isopropyl benzene acetic acid,CPBA,cpba,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:28078,,106-48-9,4-chlorophenol,4-MCP,mcp4,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,4-Ethylaniline,,HRXZRAXKKNUKRF-UHFFFAOYSA-N,,4-Ethylaniline,EtA,eta,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (pyrethroids),Cyfluthrin,CHEBI:165196,,77279-89-1,4-fluoro-3-phenoxybenzoic acid,F-3-PBA,fpba,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),4-hydroxy-benzophenone,CHEBI:34421,,1137-42-4,4-hydroxy-benzophenone,4OH-BP,fourhbp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"2,4,5,6-tetrachlorobenzene-1,3-dicarbonitrile",,MDQKYGOECVSPIW-UHFFFAOYSA-N,,4-Hydroxy Chlorothalonil,Chlorothalonil-4OH,chlor4oh,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:20469,,7651-86-7,4-hydroxyphenanthrene,4-PHEN,fourhphe,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Triphenyl phosphate,,TUBVQVOADJADLU-UHFFFAOYSA-M,,4-hydroxyphenyl phenyl phosphate,4-HO-DPHP,fourohdphp,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,4-Isopropylaniline,CHEBI:43405,,99-88-7,4-Isopropylaniline,IPA,ipa,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),4-methyl-benzophenone,,WXPWZZHELZEVPO-UHFFFAOYSA-N,,4-methyl-benzophenone,4-MBP,fourmbp,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,4-Methyl-m-phenylenediamine,CHEBI:34237,,95-80-7,4-Methyl-m-phenylenediamine,PDA,pda,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),,CHEBI:135937,,36861-47-9,4-methylbenzylidene camphor,,enzacamene,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Parathion,CHEBI:16836,,100-02-7,4-Nitrophenol,4-nitrophenol,niphen,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,4-Trifluormethoxyaniline,,,,4-Trifluormethoxyaniline,4TFMA,fourtfma,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,"4,4'-methylenebis(2-chloroaniline)",CHEBI:28124,,101-14-4,"4,4'-methylenebis(2-chloroaniline)",MOCA,moca,,,,,,,,,,,,,,,,,,,,,,,,,
Diisocyanates;Anilines and MOCA,"4,4'-methylenedianiline;4,4'-methylenediphenyl-diisocyanate",CHEBI:32506,,101-77-9,"4,4'-methylenedianiline",MDA,mda,,,,,,,,,,,,,,,,,,,,,,,,,
Aprotic solvents,N-ethyl-2-pyrrolidone,,RIOOHZIYIQTLNP-UHFFFAOYSA-N,,5-hydroxy-N-ethyl-2-pyrrolidone,5-HNEP,hnep,,,,,,,,,,,,,,,,,,,,,,,,,
Aprotic solvents,N-methyl-2-pyrrolidone,,RMBHYULORNYSOB-UHFFFAOYSA-N,,5-hydroxy-N-methyl-2-pyrrolidone,5-HNMP,hnmp,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),,CHEBI:82342,,3697-24-3,5-Methylchrysene,5-MCH,fivemch,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Thiabenadazole,,VNENJHUOPQAPAT-UHFFFAOYSA-N,,5-OH-thiabendazole,5OH-THIABENDAZOLE,fiveohthiabendazole,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Chrysene,CHEBI:132407,,37515-51-8,6-hydroxychrysene,6-CRY,sixhcry,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di(2-propylheptyl) phthalate,,,,"6-OH-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)",OH-MPHP,ohmphp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-isodecyl phthalate (all C10 phthalates including DPHP),,,,"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)",OH-MiDP,ohmidp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di(2-propylheptyl) phthalate,,,,"6-Oxo-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)",oxo-MPHP,oxomphp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-isodecyl phthalate (all C10 phthalates including DPHP),,,,"6-Oxo-mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)",oxo-MiDP,oxomidp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-isononyl phthalate,,IGGGGTKTEAEHSG-UHFFFAOYSA-N,,7-Carboxy-(mono-methyl- heptyl) phthalate,cx-MiNP,mcop,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-isononyl phthalate,,RWCHSWLUPRJYEX-UHFFFAOYSA-N,,7-OH-(Mono-methyl-octyl) phthalate,OH-MiNP,mhnp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-isononyl phthalate,,UFUNVAIKYOYYBB-UHFFFAOYSA-N,,7-Oxo-(mono-methyl-octyl) phthalate,oxo-MiNP,monp,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"7,12-Dimethylbenz(a)anthracene",CHEBI:254496,,57-97-6,"7,12-Dimethylbenz(a)anthracene",DMBA,dmba,,,,,,,,,,,,,,,,,,,,,,,,,
Genotoxicity,,CHEBI:40304,,88847-89-6,8-hydroxy-2'-deoxyguanosine,8-oxodG,dgua,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benz[a]anthracene,,RSPOTBWXQUBAQH-UHFFFAOYSA-N,,9-hydroxybenz[a]anthracene,9-BaA,hbaa9,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Fluorene,CHEBI:16904,,1689-64-1,9-hydroxyfluorene,9-FLUO,ninehfluo,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:28820,,484-17-3,9-hydroxyphenanthrene,9-PHEN,ninehphe,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:20814,,604-84-2,"9,10-Phenanthrenediol","9,10-PHEdiol",phediol,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Acenaphthene,CHEBI:22154,,83-32-9,Acenaphthene,ACE,ace,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Acenaphthylene,CHEBI:33081,,208-96-8,Acenaphthylene,ACY,acy,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,N-[(6-chloropyridin-3-yl)methyl]-N'-cyano-N-methylethanimidamide,,AYEAUPRZTZWBBF-UHFFFAOYSA-N,,Acetamiprid-N-desmethyl,Acetamiprid-N-desmethyl,acetamipridndes,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin B1,,,,AFB-lysine,AFB-Lys,afblys,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin B1,,GXTQFZWLCDHVQV-CKJDJMSUSA-N,,AFB-N7-guanine,,afbgua,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin B1,CHEBI:2504,,1162-65-8,Aflatoxin B1,AFB1,afbone,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin B2,CHEBI:48209,,7220-81-7,Aflatoxin B2,AFB2,afbtwo,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin G1,CHEBI:80706,,1165-39-5,Aflatoxin G1,AFG1,afgone,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin G2,CHEBI:80705,,7241-98-7,Aflatoxin G2,AFG2,afgtwo,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Aflatoxin B1,CHEBI:78576,,6795-23-9,Aflatoxin M1,AFM1,afm,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",,RFZSQTJRFQHGIJ-INIZCTEOSA-N,,Alachlor mercapturate,,almer,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Aldrin,CHEBI:2564,,309-00-2,Aldrin,Aldrin,aldrin,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:39096,,319-84-6,Alpha-hexachlorocyclohexane,α-HCH,ahch,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Alternariol,CHEBI:64983,,641-38-3,Alternariol,AOH,aoh,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Alternariol Monomethyl Ether,CHEBI:141315,,23452-05-3,Alternariol Monomethyl Ether,AME,ame,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:28984,,7429-90-5,Aluminium,Al,al,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"5-ethyl-6-octyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",,SBOXHLTXNTZTBN-UHFFFAOYSA-N,,Ametoctradin Metabolite M650F01,Ametoctradin-M650F01,m650f01,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Glyphosate,CHEBI:28812,,1066-51-9,Aminomethylyphosphonic acid,AMPA,ampa,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,Aniline,CHEBI:17296,,62-53-3,Aniline,Aniline,aniline,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Anthracene,CHEBI:35298,,,Anthracene,AN,an,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Anti-dechlorane plus,,UGQQAJOWXNCOPY-VBCJEVMVSA-N,,Anti-dechlorane plus,Anti-DP,adp,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:30513,,,Antimony,Sb,sb,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:30512,,7440-22-4,Argentum,Ag,ag,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:27563,,7440-38-2,Arsenic,As,as,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Arsenic,CHEBI:35828,,7440-38-2,Arsenic(III) acid,As(III),asthree,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Arsenic,CHEBI:35829,,,Arsenic(V) acid,As(V),asfive,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Arsenic,CHEBI:82392,,64436-13-1,Arsenobetaine,AsB,asb,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,CHEBI:15930,,1912-24-9,Atrazine,,atrz,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,,JYBXBVCDDNBLJW-VIFPVBQESA-N,,Atrazine mercapturate,,atmer,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:32594,,,Barium,Ba,ba,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benz[a]anthracene,CHEBI:51348,,,Benz[a]anthracene,BaA,baa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[a]pyrene,CHEBI:29865,,50-32-8,Benzo[a]pyrene,BaP,bap,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[b]fluoranthene,CHEBI:34565,,205-99-2,Benzo[b]fluoranthene,BbFA,bbfa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[c]fluorene,CHEBI:82403,,205-12-9,Benzo[c]fluorene,BcFL,bcfl,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[c]phenanthrene,CHEBI:82292,,195-19-7,Benzo[c]phenanthrene,BcPh,bcph,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[e]pyrene,CHEBI:34567,,192-97-2,Benzo[e]pyrene,BeP,bep,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Benzo[g,h,i]perylene",CHEBI:34568,,191-24-2,"Benzo[g,h,i]perylene",BghiP,bghip,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[j]fluoranthene,CHEBI:82291,,205-82-3,Benzo[j]fluoranthene,BjFA,bjfa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benzo[k]fluoranthene,CHEBI:34569,,207-08-9,Benzo[k]fluoranthene,BkFA,bkfa,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone,CHEBI:41308,,,Benzophenone,BP,bp,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 1;Benzophenone 3,CHEBI:34240,,131-56-6,Benzophenone 1,BP-1,bpone,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 2,,WXNRYSGJLQFHBR-UHFFFAOYSA-N,,Benzophenone 2,BP-2,bptwo,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 3,CHEBI:34283,,131-57-7,Benzophenone 3,BP-3,bpthree,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 4,CHEBI:135312,,4065-45-6,Benzophenone 4,BP-4,bpfour,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 6,,SODJJEXAWOSSON-UHFFFAOYSA-N,,Benzophenone 6,BP-6,bpsix,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 7,,OMWSZDODENFLSV-UHFFFAOYSA-N,,Benzophenone 7,BP-7,bpseven,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 3,CHEBI: 34208,,,Benzophenone 8,BP-8,dhmb,,,,,,,,,,,,,,,,,,,,,,,,,
Parabens,,CHEBI:34571,,94-18-8,Benzylparaben,,benpar,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,,Berylium,Be,be,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Organochlorine compounds (OCs),Hexachlorocyclohexane,CHEBI:28428,,319-85-7,Beta-hexachlorocyclohexane,bHCH,bhch,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tris(2chloroisopropyl)phosphate,CHEBI:166470,,,Bis(1-chloro-2-propyl) phosphate,BCIPP,bcippms,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"Tris(1,3-dichloro-2-propyl) phosphate",CHEBI:166469,,72236-72-7,"Bis(1,3-dichloro-2-propyl) phosphate",BDCIPP,bdcippms,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tris(2-butoxyethyl) phosphate,,ZYWDPVGRFHQPGL-UHFFFAOYSA-N,,Bis(2-butoxyethyl) 3-hydroxy-2-butoxyethyl phosphate,3-HO-TBOEP,ohtboep,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tris(2-butoxyethyl) phosphate,,NNXWIPHZHATIFE-UHFFFAOYSA-N,,Bis(2-butoxyethyl) phosphate,BBOEP,bboephr,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Bis(2-chloroethyl) phosphate,CHEBI:166471,,3040-56-0,Bis(2-chloroethyl) phosphate,BCEP,bcepms,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"Bis(2-ethylhexyl)-3,4,5,6-tetrabromophthalate",,UUEDINPOVKWVAZ-UHFFFAOYSA-N,,"Bis(2-ethylhexyl)-3,4,5,6-tetrabromophthalate",BEH-TEBP,hebtebp,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tri-(2-ethylhexyl) phosphate,,SEGLCEQVOFDUPX-UHFFFAOYSA-N,,Bis(2-ethylhexyl) phosphate,BEHP,behp,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:33301,,7440-69-9,Bismuth,Bi,bi,,,,,,,,,,,,,,,,,,,,,,,,,
Bisphenols,Bisphenol A,CHEBI:33216,,80-05-7,Bisphenol A,BPA,cbpa,,,,,,,,,,,,,,,,,,,,,,,,,
Bisphenols,Bisphenol A,CHEBI:33216,,80-05-7,Bisphenol A,BPA,fbpa,,,,,,,,,,,,,,,,,,,,,,,,,
Bisphenols,Bisphenol A,CHEBI:33216,,80-05-7,Bisphenol A,BPA,bpa,,,,,,,,,,,,,,,,,,,,,,,,,
Bisphenols,Bisphenol AF,CHEBI:72754,,1478-61-1,Bisphenol AF,BPAF,cbpaf,,,,,,,,,,,,,,,,,,,,,,,,,
